region_num,region_name
10000,sVs&background
10001,sVs&CSF
10002,sVs&GM
10003,sVs&WM
11001,sVs&CSF&WM_HI
11002,sVs&GM&WM_HI
11003,sVs&WM&WM_HI
20000,LVs&background
20001,LVs&CSF
20002,LVs&GM
20003,LVs&WM
21001,LVs&CSF&WM_HI
21002,LVs&GM&WM_HI
21003,LVs&WM&WM_HI
